chunk_id	layer	section	para	seq	class	raw_text	book	chapter	verses	target	confidence	resolution	carried_from	divergence_id	pair_confidence	witness_target	divergence_class	divergence_why
ddc-2-10	en-sumner	en-sumner	{¶5}	8	BOOK CH V	Rev. xxi. 8.	Rev	21	8	Rev 21:8	high	book-named				Rev 21:8		
ddc-2-10	en-sumner	en-sumner	{¶6}	0	BOOK CH V	Prov. xiv. 16.	Prov	14	16	Prov 14:16	high	book-named				Prov 14:16		
ddc-2-10	en-sumner	en-sumner	{¶6}	1	BOOK CH V	2 Kings xiv. 8.	2Kgs	14	8	2Kgs 14:8	high	book-named				2Kgs 14:8		
ddc-2-10	en-sumner	en-sumner	{¶6}	2	BOOK CH V-RANGE	2 Chron. xxxv. 20—22.	2Chr	35	20,21,22	2Chr 35:20,21,22	high	book-named		d236	plausible	2Chr 35:20,21,22		
ddc-2-10	en-sumner	en-sumner	{¶6}	3	BOOK CH V	John vii. 1.	John	7	1	John 7:1	high	book-named				John 7:1		
ddc-2-10	en-sumner	en-sumner	{¶6}	4	— CH V-LIST	xi. 53, 54.	John	11	53,54	John 11:53,54	carried	book-carried	ddc-2-10:en-sumner:{¶6}:3			John 11:53,54		
ddc-2-10	en-sumner	en-sumner	{¶6}	5	BOOK CH V	Matt. x. 23.	Matt	10	23	Matt 10:23	high	book-named				Matt 10:23		
ddc-2-10	en-sumner	en-sumner	{¶7}	0	BOOK CH V	Psal. lxix. 7.	Ps	69	7	Ps 69:7	high	book-named		d237	plausible	Ps 69:7	versification-predicted	Psalm superscription numbered as 1 verse (§13.1 rule; this psalm's own leaf not read)
ddc-2-10	en-sumner	en-sumner	{¶7}	1	BOOK CH V	Prov. xi. 12.	Prov	11	12	Prov 11:12	high	book-named				Prov 11:12		
ddc-2-10	en-sumner	en-sumner	{¶7}	2	— CH V	xvii. 27.	Prov	17	27	Prov 17:27	carried	book-carried	ddc-2-10:en-sumner:{¶7}:1			Prov 17:27		
ddc-2-10	en-sumner	en-sumner	{¶7}	3	— CH V	xix. 11.	Prov	19	11	Prov 19:11	carried	book-carried	ddc-2-10:en-sumner:{¶7}:2			Prov 19:11		
ddc-2-10	en-sumner	en-sumner	{¶7}	4	BOOK CH V	Eccles. vii. 21.	Eccl	7	21	Eccl 7:21	high	book-named				Eccl 7:21		
ddc-2-10	en-sumner	en-sumner	{¶7}	5	BOOK CH V-LIST	Isai. l. 7, 8.	Isa	50	7,8	Isa 50:7,8	high	book-named				Isa 50:7,8		
ddc-2-10	en-sumner	en-sumner	{¶7}	6	BOOK CH V	Matt. v. 39.	Matt	5	39	Matt 5:39	high	book-named				Matt 5:39		
ddc-2-10	en-sumner	en-sumner	{¶7}	7	BOOK CH V	1 Cor. vi. 7.	1Cor	6	7	1Cor 6:7	high	book-named				1Cor 6:7		
ddc-2-10	en-sumner	en-sumner	{¶7}	8	BOOK CH V	1 Thess. v. 14.	1Thess	5	14	1Thess 5:14	high	book-named				1Thess 5:14		
ddc-2-10	en-sumner	en-sumner	{¶7}	9	BOOK CH V	Acts xvi. 37.	Acts	16	37	Acts 16:37	high	book-named				Acts 16:37		
ddc-2-10	en-sumner	en-sumner	{¶8}	0	BOOK CH V	Prov. xxiv. 10.	Prov	24	10	Prov 24:10	high	book-named				Prov 24:10		
ddc-2-10	en-sumner	en-sumner	{¶9}	0	BOOK CH V	1 Kings xviii. 28.	1Kgs	18	28	1Kgs 18:28	high	book-named				1Kgs 18:28		
ddc-2-11	la	la	{¶2}	0	BOOK CH V	Lev. xix. 18.	Lev	19	18	Lev 19:18	high	book-named				Lev 19:18		
ddc-2-11	la	la	{¶2}	1	BOOK CH V	1 Joan. iv. 11.	1John	4	11	1John 4:11	high	book-named				1John 4:11		
